,Brand,Model,Variant,Year,Selling_Price,KM_Driven,Fuel,Transmission,Location
3562,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
3563,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3564,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,50,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
3565,Chevrolet,Beat,Diesel LS,2013," 2,90,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3566,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
3567,Chevrolet,Cruze,LTZ,2013," 3,25,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
3568,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
3569,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
3570,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
3571,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
3572,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
3573,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
3574,Chevrolet,Cruze,2012 LTZ AT,2012," 2,95,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
3575,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
3576,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 13,90,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
3577,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
3578,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,35,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
3579,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3580,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
3581,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
3582,Honda,Civic,V,2008," 2,10,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
3583,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,999","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
3584,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3585,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,92,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
3586,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
3587,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3588,Hyundai,Elite i20,Sportz (O) 1.4,2020," 7,49,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
3589,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 7,70,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
3590,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,00,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
3591,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
3592,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3593,Hyundai,Creta,1.6 SX Plus Auto,2017," 9,95,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
3594,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
3595,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
3596,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,74,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
3597,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3598,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
3599,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,60,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
3600,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,40,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
3601,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
3602,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
3603,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3604,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,70,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
3605,Chevrolet,Beat,Diesel LS,2013," 2,90,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3606,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
3607,Chevrolet,Cruze,LTZ,2013," 3,25,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
3608,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
3609,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
3610,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
3611,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
3612,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
3613,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
3614,Chevrolet,Cruze,2012 LTZ AT,2012," 2,95,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
3615,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
3616,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 13,90,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
3617,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
3618,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,35,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
3619,Tata,Nano,2009-2011 Cx BSIV,2010," 75,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3620,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
3621,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
3622,Honda,Civic,V,2008," 2,35,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
3623,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,999","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
3624,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3625,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,92,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
3626,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
3627,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3628,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
3629,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
3630,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,25,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
3631,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
3632,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3633,Hyundai,Creta,1.6 SX Plus Auto,2017," 9,95,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
3634,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
3635,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
3636,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
3637,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3638,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
3639,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,60,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
3640,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,25,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
3641,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
3642,-,-,-,-," 3,000",-,-,-,-
3643,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3644,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,70,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
3645,Chevrolet,Beat,Diesel LS,2013," 2,90,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3646,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
3647,Chevrolet,Cruze,LTZ,2013," 3,25,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
3648,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
3649,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
3650,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
3651,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
3652,Hyundai,Santro Xing,GLS,2010," 1,75,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
3653,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
3654,Chevrolet,Cruze,2012 LTZ AT,2012," 2,95,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
3655,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
3656,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 13,90,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
3657,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
3658,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,35,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
3659,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3660,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
3661,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
3662,Honda,Civic,V,2008," 2,10,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
3663,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,999","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
3664,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3665,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,92,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
3666,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
3667,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3668,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
3669,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
3670,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,25,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
3671,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
3672,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3673,Hyundai,Creta,1.6 SX Plus Auto,2017," 9,95,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
3674,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
3675,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
3676,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
3677,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3678,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,60,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
3679,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,60,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
3680,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,40,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
3681,Audi,A6,-,2016," 26,50,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
3682,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 2,95,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
3683,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3684,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,50,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
3685,Chevrolet,Beat,Diesel LS,2013," 2,90,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3686,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
3687,Chevrolet,Cruze,LTZ,2013," 3,60,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
3688,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
3689,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
3690,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
3691,Mahindra,Bolero,SLX,2009," 3,20,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
3692,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
3693,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
3694,Chevrolet,Cruze,2012 LTZ AT,2012," 3,25,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
3695,Toyota,Innova Crysta,2.8Z Automatic,2016," 14,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
3696,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 14,50,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
3697,BMW,3 Series,320d Sport,2011," 9,40,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
3698,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,35,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
3699,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3700,Toyota,Etios Liva,1.2 VX,2012," 3,85,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
3701,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
3702,Honda,Civic,V,2008," 2,10,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
3703,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,999","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
3704,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3705,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,92,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
3706,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
3707,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,12,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3708,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
3709,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
3710,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,25,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
3711,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
3712,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3713,Hyundai,Creta,1.6 SX Plus Auto,2017," 9,95,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
3714,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
3715,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
3716,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,85,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
3717,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,25,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3718,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
3719,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,60,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
3720,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,25,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
3721,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
3722,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 3,45,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
3723,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3724,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,50,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
3725,Chevrolet,Beat,Diesel LS,2013," 2,85,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
3726,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,95,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
3727,Chevrolet,Cruze,LTZ,2013," 3,60,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
3728,Tata,Nano,2009-2011 Lx BSIV,2010," 55,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
3729,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,45,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
3730,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
3731,Mahindra,Bolero,SLX,2009," 3,25,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
3732,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
3733,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
3734,Chevrolet,Cruze,2012 LTZ AT,2012," 3,25,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
3735,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
3736,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 14,50,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
3737,BMW,3 Series,320d Sport,2011," 8,75,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
3738,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
3739,Tata,Nano,2009-2011 Cx BSIV,2010," 75,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3740,Toyota,Etios Liva,1.2 VX,2012," 3,80,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
3741,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
3742,Honda,Civic,V,2008," 2,10,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
3743,Toyota,Innova Crysta,2.8Z Automatic,2016," 15,99,999","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
3744,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3745,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,92,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
3746,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
3747,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
3748,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
3749,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
3750,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,25,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
3751,Mahindra,XUV300,-,2019," 10,50,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
3752,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
3753,Hyundai,Creta,1.6 SX Plus Auto,2017," 9,95,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
3754,Hyundai,i20,1.2 Magna Executive,2017," 4,65,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
